customer_city,order_volume,total_sales
piuma,17,2590.1700000000005
goianesia,17,2516.58
novo horizonte,17,3078.8100000000004
americo brasiliense,17,2688.8900000000003
santa vitoria,17,4546.18
inhumas,16,2733.51
cajati,16,2100.6899999999996
candido mota,16,1824.1
palmeira das missoes,16,1943.52
ouro fino,16,2978.23
natividade,16,3517.2200000000003
itaocara,16,2042.5000000000002
santana do paraiso,16,3077.73
marataizes,16,3274.31
marialva,16,3115.02
senador canedo,16,1790.2900000000002
osvaldo cruz,16,2124.3599999999997
nova prata,16,1541.25
manhumirim,16,2817.5299999999997
pirapora do bom jesus,16,3067.5399999999995
janauba,16,3646.2199999999993
agudos,16,1508.9499999999998
bom jardim,16,2862.49
vilhena,16,2791.92
caxias,16,2604.1499999999996
caxambu,16,2161.84
joao pinheiro,16,2814.0299999999997
carmo do paranaiba,16,4652.95
sao francisco do sul,16,1890.4999999999998
redencao,16,3116.14
pitangueiras,16,1634.64
jacarezinho,16,1617.17
tucurui,16,5756.65
guacui,16,4311.75
patos,16,4795.28
ituporanga,15,3580.25
pirai,15,2544.07
bombinhas,15,2305.3
sao mateus do sul,15,2284.52
estrela,15,2460.4200000000005
posse,15,3940.71
eldorado do sul,15,2127.04
sao luiz gonzaga,15,4008.72
sao joao da barra,15,2548.11
junqueiropolis,15,2491.4199999999996
sao francisco de itabapoana,15,1816.4099999999999
penha,15,2379.71
barra velha,15,2014.4099999999999
buritis,15,2381.0299999999997
rio negro,15,2465.8699999999994
nova era,15,2565.16
pariquera-acu,15,2065.21
conselheiro pena,15,2393.18
cordeiropolis,15,1597.09
bariri,15,3075.2200000000003
itabaiana,15,3840.41
campo novo do parecis,15,5838.679999999999
santa adelia,15,1861.06
taquarituba,15,2799.3500000000004
ipojuca,15,1825.5600000000002
iguatu,15,4355.54
santa maria de jetiba,15,2231.0699999999997
santa ines,15,2308.68
palmeira,15,2994.12
vitoria de santo antao,15,2988.4700000000003
venda nova do imigrante,15,3171.2200000000007
quirinopolis,14,1789.8000000000002
taio,14,4792.66
presidente dutra,14,2792.98
bandeirantes,14,2113.6299999999997
frederico westphalen,14,1319.8899999999999
sao joao nepomuceno,14,3088.1299999999987
iguape,14,1615.2
campos novos,14,2438.38
teutonia,14,1826.22
sao lourenco do sul,14,2453.15
paraisopolis,14,2376.1600000000003
laguna,14,2696.2299999999996
lagoa vermelha,14,1883.04
feliz,14,2947.85
lapa,14,2488.5400000000004
esmeraldas,14,2043.24
chapadao do sul,14,1913.4099999999999
triunfo,14,2675.96
iturama,14,1931.5099999999998
itaporanga,14,2971.05
marituba,14,1663.07
pinheiral,14,2529.38
almenara,14,3212.33
pirapozinho,14,1582.47
mirassol d'oeste,14,2207.2300000000005
guariba,14,1810.7199999999998
santo antonio do monte,14,2247.3100000000004
porto uniao,14,3329.4300000000003
petrolandia,14,2587.77
serrinha,14,2314.1099999999997
miguelopolis,14,2265.4999999999995
paranaiba,14,1701.31
rosario do sul,14,1292.52
cunha,14,3118.0000000000005
nossa senhora do socorro,14,2809.5599999999995
piraquara,14,1947.24
niquelandia,13,1896.5800000000002
ibirama,13,1429.1999999999998
itapecerica,13,1603.6800000000003
itanhandu,13,2113.8799999999997
tupaciguara,13,1645.3600000000001
jardinopolis,13,1851.4799999999996
parati,13,3088.5899999999997
santa rosa de viterbo,13,1975.27
teodoro sampaio,13,1561.1899999999998
irece,13,2660.91
aluminio,13,1500.6399999999999
imbe,13,3105.6699999999996
bom jesus,13,3082.2700000000004
santa maria da vitoria,13,2185.07
cesario lange,13,2209.06
quixada,13,3350.46
sao miguel arcanjo,13,1543.78
loanda,13,2042.79
novo gama,13,2001.41
santana,13,1941.31
sao jose de ribamar,13,1764.0600000000002
eusebio,13,2707.5599999999995
casa branca,13,1492.8799999999999
paty do alferes,13,2597.71
serra negra,13,3522.56
ariquemes,13,4969.639999999999
fraiburgo,13,2338.5400000000004
porangatu,13,2162.7400000000002
pojuca,13,1820.7800000000002
ivoti,13,1507.43
sao gabriel da palha,13,1732.64
forquilhinha,13,1468.18
barra de sao joao,13,2835.38
sacramento,13,2358.5400000000004
mirandopolis,13,1535.41
rio negrinho,13,1381.73
descalvado,13,1439.5700000000002
guaramirim,13,1736.26
divino,13,1466.16
matias barbosa,13,2489.66
serrana,13,1115.27
taiobeiras,13,3103.7999999999997
bocaiuva,13,1943.22
tres marias,13,1095.8999999999999
maracaju,13,3511.21
sao simao,13,1734.25
jaguare,13,1513.1
sao lourenco da serra,12,1357.03
sao sebastiao do cai,12,2048.86
chavantes,12,1154.1399999999999
conceicao do mato dentro,12,1606.3399999999997
raul soares,12,1357.7699999999998
engenheiro coelho,12,1186.47
goiana,12,991.2099999999999
mangaratiba,12,1224.4199999999998
tres de maio,12,2334.85
pires do rio,12,3930.0299999999993
sao joao,12,1539.13
macatuba,12,3452.4500000000003
jose bonifacio,12,1666.9299999999998
italva,12,1480.6100000000001
tapiratiba,12,2835.2799999999997
sao pedro,12,3903.3300000000004
sao jose do vale do rio preto,12,1527.66
ipameri,12,2399.960000000001
quata,12,3417.29
santa helena,12,1695.8899999999999
camaqua,12,1998.21
salto de pirapora,12,1153.56
costa rica,12,1273.9
santa vitoria do palmar,12,2049.67
assis chateaubriand,12,1426.2999999999997
flores da cunha,12,1732.57
alta floresta,12,3951.08
conceicao de macabu,12,1970.2400000000002
pirajui,12,1789.3200000000002
sao goncalo do amarante,12,1705.2200000000003
brotas,12,1269.8799999999999
carmo,12,1742.8600000000001
pilar do sul,12,1225.3199999999997
matozinhos,12,944.16
vargem grande do sul,12,990.68
santo antonio da platina,12,1544.84
andradas,12,4595.969999999999
ibate,12,1767.2900000000002
